Date,Name,Character(s),Species,Expression(s),Medium
4/17/21,Homecoming,"Toothless, Night Light, unknown, unknown, unknown","Dragons, Dragons, Dragons, Dragons, Dragons","Engaged, Playful",Digital
4/16/21,Biscuit,Biscuit,Mutt,Neutral,Digital
4/14/21,Lou,Lou,Dragon,Shy,Digital
4/13/21,Almita Otter,Almita,Otter,Neutral,Digital
4/11/21,Kite Flying,"Lucky, Sky",Wolves,"Engaged, Playful",Digital
4/10/21,Forx to Huscoon,"Forx, Huscoon","Fox, Raccoon","Curious, Surprised, Shocked, Neutral",Digital
4/6/21,Pent and Sama Skating,"Pent, Sama","Arctic Fox, Arctic Fox","Engaged, Playful",Digital
4/5/21,Rosebuster Bunny,Mak Rosebuster,Bunny,"Engaged, Happy",Digital
4/4/21,Wind Down,"Rocky, Koji, Freya",Wolves,"Engaged, Calm",Digital
4/3/21,Snowflakes,"Cody, Maks Rosebuster","White Tiger, Fox","Engaged, Playful",Digital
4/2/21,Frechet and Jordan,"Frechet, Jordan","Albino Raccoon, Turtle",Engaged,Traditional
4/1/21,Through the Mirror,"Fizzle, Furahi, Fizzle, Furahi","Wolf, Pup",Engaged,Traditional
4/1/21,Sven in the rain,Sven,Otter,"Engaged, Satisfied",Digital
3/31/21,Blanket Fort,"Fizz, Angel","Lion Cub, Kitsune","Engaged, Happy",Digital
3/30/21,Vegemite Sandwich,Furrhan,Eastern Quoll,"Hungry, TO",Digital
3/29/21,Mausie and Iris Playing Games,"Mausie, Iris",Mice,"Engaged, Focused",Digital
3/28/21,Shu,Shu,Egyptian Gryphon,Neutral,Digital
3/27/21,Tourist Cat,Oddity,Cheetah,Neutral,Digital
3/26/21,Nummy Food,Kazan,Wolf,"Hungry, TO",Digital
3/25/21,Luc,Luc,Labrador,Engaged,Digital
3/24/21,Dingoroo,Dingoroo,Dingoroo,Neutral,Digital
3/24/21,Sirene Tokala,Sirene Tokala,NaN,Engaged,Digital
3/23/21,Pantless Shibby Fox,Shibby,Fox,Engaged,Digital
3/22/21,Wings,SunTattooWolf,Winged Wolf,Neutral,Digital
3/21/21,Sushi Yin,Yin Rave,Wolf,Engaged,Digital
3/18/21,Group hug!,"Twile, Kip, Sepf","Dragon, Fox, Folf","Engaged, Warm",Digital
3/16/21,Biscuit Moment,Biscuit,Mutt,"Engaged, Warm",Digital
3/14/21,The Wonder Years,"Zanareth, Dreamline","Fox, Lion",Neutral,Digital
3/13/21,Straight From the Muzzle,Blue,Pup,"Engaged, Happy",Digital
3/12/21,Shadow Mason,Shadow Mason,Raccoon,"Engaged, Neutral",Digital
3/10/21,Kaboom!,Dahan,Cat,Surprised,Digital
3/6/21,PC Gamer Raccoon,Nikitovich,Raccoon,"Engaged, Happy",Traditional
3/4/21,Vulcan River Wolf,Vulcan Wolf,Wolf,"Engaged, Happy",Digital
2/16/21,Paco Wolf Offers a Hug,Paco Wolf,Wolf,"Engaged, Happy",Digital
